Player Name,Team,Conference,GP,MIN,MPG,PPG,RPG,APG,TOPG,SPG,BPG,AST,TO,STL,BLK,pts_per_40,reb_per_40,ast_per_40,tov_per_40,stl_per_40,blk_per_40,assist_stats_suspicious,turnover_stats_suspicious,steal_stats_suspicious,block_stats_suspicious,points_per40_suspicious,rebounds_per40_suspicious,negative_stat_suspicious,ppg_mismatch,rpg_mismatch,apg_mismatch
Kolby Watson,Emmanuel GA,Conference Carolinas,3,50,16.7,12.3,3.7,20.666666666666668,5.333333333333333,5.333333333333333,0.0,62,16,16,0,29.6,8.8,49.6,12.8,12.8,0.0,True,True,True,False,False,False,False,False,False,False
Kolby Horace,Delta State,Gulf South,3,58,19.3,11.7,5.0,5.333333333333333,17.666666666666668,5.333333333333333,2.3333333333333335,16,53,16,7,24.13793103448276,10.344827586206897,11.03448275862069,36.55172413793104,11.03448275862069,4.827586206896552,False,True,True,False,False,False,False,False,False,False
