player_name,player_slug,source_school,source_level,destination_school,first_big_west_season,missing_source_stats,missing_outcome_stats,reason,priority,expected_source_season,recommended_next_step,current_missing_reason,collection_bucket
Chayce Polynice,chayce-polynice,College of Southern Idaho,JUCO,Long Beach State,2022-23,True,False,missing_source_stats,2,2021-22,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Evans Kipruto,evans-kipruto2,Barton Community College,JUCO,UC Santa Barbara,2022-23,True,False,missing_source_stats,2,2021-22,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Marvin McGhee III,marvin-mcghee,South Georgia Technical College,JUCO,Cal State Bakersfield,2022-23,True,False,missing_source_stats,2,2021-22,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Sam Manu,sam-manu,College of San Mateo,JUCO,UC Davis,2022-23,True,False,missing_source_stats,2,2021-22,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Cam Malray,cameron-malray,Dodge City Community College,JUCO,Cal Poly,2023-24,True,False,missing_source_stats,2,2022-23,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Chip Brunt,chris-brunt,Gulf Coast State College,JUCO,UC Riverside,2023-24,True,False,missing_source_stats,2,2022-23,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Corey Stephenson,corey-stephenson,Northeast Mississippi Community College,JUCO,Cal State Bakersfield,2023-24,True,False,missing_source_stats,2,2022-23,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Joel Armotrading,joel-armotrading,College of Southern Idaho,JUCO,Cal Poly,2023-24,True,False,missing_source_stats,2,2022-23,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Keonte Jones,keonte-jones,Midland College,JUCO,Cal State Northridge,2023-24,True,False,missing_source_stats,2,2022-23,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Guzmán Vasilić,guzmn-vasili,Southeastern Oklahoma State,D2,Cal Poly,2024-25,True,False,missing_source_stats,2,2023-24,manual_d2_school_page_or_confirm_no_stat_row,d2_source_row_not_in_phase1_school_stats,needs_source_stats
Christian Richardson,christian-richardson,Butler Community College,JUCO,Long Beach State,2024-25,True,False,missing_source_stats,2,2023-24,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
"Cory Curtis, Jr.",cory-curtis-jr,Independence Community College,JUCO,Long Beach State,2024-25,True,False,missing_source_stats,2,2023-24,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Freddie Cooper,freddie-cooper,Moberly Area Community College,JUCO,Cal State Fullerton,2024-25,True,False,missing_source_stats,2,2023-24,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Gloire Goma,gloire-goma,Clarendon College,JUCO,Cal State Bakersfield,2024-25,True,False,missing_source_stats,2,2023-24,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Jamaal Unuakhalu,jamal-unuakhalu,Moorpark College,JUCO,UC Davis,2024-25,True,False,missing_source_stats,2,2023-24,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Jemel Jones,jemel-jones,South Suburban College,JUCO,Cal State Bakersfield,2024-25,True,False,missing_source_stats,2,2023-24,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Marvin McGhee IV,marvin-mcghee-iv,Bishop State Community College,JUCO,Cal State Bakersfield,2024-25,True,False,missing_source_stats,2,2023-24,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Shakiru Odunewu,shakiru-odunewu,West Valley College,JUCO,Cal State Bakersfield,2024-25,True,False,missing_source_stats,2,2023-24,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Christian Jones,christian-jones,Angelina College,JUCO,Long Beach State,2025-26,True,False,missing_source_stats,2,2024-25,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
"Cyril Franklin, Jr.",cyril-franklin,College of Southern Nevada,JUCO,UC Davis,2025-26,True,False,missing_source_stats,2,2024-25,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Davis White,davis-white,College of the Sequoias,JUCO,Cal State Fullerton,2025-26,True,False,missing_source_stats,2,2024-25,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Davius Loury,davius-loury,John A. Logan College,JUCO,Cal State Northridge,2025-26,True,False,missing_source_stats,2,2024-25,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
E.J. Spillman,ej-spillman,College of the Sequoias,JUCO,UC Riverside,2025-26,True,False,missing_source_stats,2,2024-25,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Immanuel Lewis,immanuel-lewis,Atlantic Cape Community College,JUCO,Long Beach State,2025-26,True,False,missing_source_stats,2,2024-25,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Isaac Finlinson,isaac-finlinson,Snow College,JUCO,Hawaii,2025-26,True,False,missing_source_stats,2,2024-25,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Jai Chisolm,jai-chisolm,University of South Carolina Salkehatchie,JUCO,Cal State Northridge,2025-26,True,False,missing_source_stats,2,2024-25,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Jake Davis,jake-davis2,West Valley College,JUCO,Cal Poly,2025-26,True,False,missing_source_stats,2,2024-25,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Jonathan Noudjihidi,jonathan-noudjihidi,Coahoma Community College,JUCO,UC Davis,2025-26,True,False,missing_source_stats,2,2024-25,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
Devin Tillis,devin-tillis,UNLV,D1,UC Irvine,2021-22,False,True,missing_big_west_outcome,3,,,,needs_outcome_stats
Juan Munoz,juan-munoz,Longwood,D1,Hawaii,2021-22,False,True,missing_big_west_outcome,3,,,,needs_outcome_stats
Logan McLaughlin,logan-mclaughlin,Abilene Christian,D1,Cal Poly,2022-23,False,True,missing_big_west_outcome,3,,,,needs_outcome_stats
Pablo Tamba,pablo-tamba,Idaho State,D1,UC Davis,2022-23,False,True,missing_big_west_outcome,3,,,,needs_outcome_stats
Austin Johnson,austin-johnson2,North Carolina A&T,D1,Long Beach State,2023-24,False,True,missing_big_west_outcome,3,,,,needs_outcome_stats
Marsalis Roberson,marsalis-roberson,California,D1,UC Davis,2023-24,False,True,missing_big_west_outcome,3,,,,needs_outcome_stats
P.J. Fuller II,pj-fuller,Washington,D1,Cal State Northridge,2023-24,False,True,missing_big_west_outcome,3,,,,needs_outcome_stats
Quincy McGriff,quincy-mcgriff,Duquesne,D1,Cal State Northridge,2023-24,False,True,missing_big_west_outcome,3,,,,needs_outcome_stats
Grant Gondrezick II,grant-gondrezick,Detroit Mercy,D1,Long Beach State,2025-26,False,True,missing_big_west_outcome,3,,,,needs_outcome_stats
Quinton Webb,quinton-webb,New Mexico,D1,Cal State Northridge,2025-26,False,True,missing_big_west_outcome,3,,,,needs_outcome_stats
Tanner Cuff,tanner-cuff,Evansville,D1,Hawaii,2025-26,False,True,missing_big_west_outcome,3,,,,needs_outcome_stats
Tyson Dunn,tyson-dunn,Buffalo,D1,UC San Diego,2025-26,False,True,missing_big_west_outcome,3,,,,needs_outcome_stats
"John Square, Jr.",john-square-jr,Fairleigh Dickinson,D1,Cal State Fullerton,2022-23,True,False,missing_source_stats,3,2021-22,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
Josh O'Garro,josh-ogarro,Texas State,D1,Cal State Northridge,2025-26,True,False,missing_source_stats,3,2024-25,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
Isaiah Moses,isaiah-moses,Alaska Anchorage,D2,UC Riverside,2022-23,True,True,missing_source_stats;missing_big_west_outcome,4,2021-22,manual_d2_school_page_or_confirm_no_stat_row,d2_source_row_not_in_phase1_school_stats,needs_source_and_outcome_stats
Keith Richard,keith-richard,South Plains College,JUCO,Cal State Fullerton,2022-23,True,True,missing_source_stats;missing_big_west_outcome,4,2021-22,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
Mezziah Oakman,mezziah-oakman,City College of San Francisco,JUCO,UC Santa Barbara,2022-23,True,True,missing_source_stats;missing_big_west_outcome,4,2021-22,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
Tom Mark,tom-mark,Tallahassee Community College,JUCO,Cal State Bakersfield,2022-23,True,True,missing_source_stats;missing_big_west_outcome,4,2021-22,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
Zachary Visentin,zachary-visentin,Snow College,JUCO,Cal State Fullerton,2022-23,True,True,missing_source_stats;missing_big_west_outcome,4,2021-22,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
B.J. Comer,bj-comer,Ranger College,JUCO,Cal State Northridge,2023-24,True,True,missing_source_stats;missing_big_west_outcome,4,2022-23,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
C.J. Hardy,cj-hardy,West Los Angeles College,JUCO,Cal State Bakersfield,2023-24,True,True,missing_source_stats;missing_big_west_outcome,4,2022-23,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
Cameron Clark,cam-clark,College of the Sequoias,JUCO,Cal State Bakersfield,2023-24,True,True,missing_source_stats;missing_big_west_outcome,4,2022-23,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
Gavin Davis,gavin-davis,West Los Angeles College,JUCO,UC Riverside,2023-24,True,True,missing_source_stats;missing_big_west_outcome,4,2022-23,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
Jalen Barbee,jalen-barbee,Cochise College,JUCO,Cal State Northridge,2023-24,True,True,missing_source_stats;missing_big_west_outcome,4,2022-23,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
LoLo Rudolph,lolo-rudolph,Hutchinson Community College,JUCO,Cal State Fullerton,2023-24,True,True,missing_source_stats;missing_big_west_outcome,4,2022-23,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
Noah Williams,noah-williams2,Barton Community College,JUCO,Cal State Northridge,2023-24,True,True,missing_source_stats;missing_big_west_outcome,4,2022-23,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
Dylan Purnell,dylan-purnell,South Plains College,JUCO,Cal State Bakersfield,2024-25,True,True,missing_source_stats;missing_big_west_outcome,4,2023-24,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
Yesan Warren,yesan-warren,Frank Phillips College,JUCO,Cal State Fullerton,2024-25,True,True,missing_source_stats;missing_big_west_outcome,4,2023-24,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
Naceiar Kirksey,naceiar-kirksey,Monroe College,JUCO,Cal State Northridge,2025-26,True,True,missing_source_stats;missing_big_west_outcome,4,2024-25,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
Ylan Esso-Essis,ylan-esso-essis,Modesto Junior College,JUCO,UC Davis,2025-26,True,True,missing_source_stats;missing_big_west_outcome,4,2024-25,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_and_outcome_stats
Vlad Salaridze,vladimer-salaridze,Eastern Florida State College,JUCO,UC Riverside,2022-23,True,False,missing_source_stats,4,2021-22,manual_juco_or_official_school_page,source_level_not_yet_supported,needs_source_stats
