Player Name,Team,Conference,source_url,source_method,row_match_text,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,TOPG,SPG,BPG,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,eFG,three_share,AST_TOV,FTR,TS_pct,audit_status,acceptance_status
"Schayes, Logan",Westmont,PacWest,https://athletics.westmont.edu/sports/mens-basketball/stats/2025-26,official_school_stats_page,"05 Schayes, Logan  05 Schayes, Logan 6 0.0 14 2.3 1 6 0.167 1 5 0.2 0 0 0.0 3 0.5 0 1 1 0.2 2 0 6 1 0 View Bio",6.0,13.8,2.3,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,3.0,0.5,0.0,1.0,1.0,0.1666666666666666,2.0,0.0,6.0,1.0,0.0,0.0,1.0,0.1666666666666666,0.0,8.695652173913045,2.898550724637681,0.0,2.898550724637681,0.0,17.39130434782609,,,,,,ok,ok
"McCullough, Jett",Alaska Fairbanks,Great Northwest,https://alaskananooks.com/sports/mens-basketball/stats,official_school_stats_page,"10 McCullough, Jett  10 McCullough, Jett 1 0.0 10 10.0 2 4 0.5 1 2 0.5 1 2 0.5 6 6.0 1 1 2 2.0 2 0 2 3 0 View Bio",1.0,10.0,10.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,6.0,6.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,0.0,24.0,8.0,0.0,12.0,0.0,8.0,,,,,,ok,ok
"Chase, Ephraim",Roosevelt,Great Lakes Intercollegiate,https://rooseveltlakers.com/sports/mens-basketball/stats,official_school_stats_page,"14 Chase, Ephraim  14 Chase, Ephraim 1 0.0 4 4.0 1 2 0.5 0 0 0.0 2 2 1.0 4 4.0 0 0 0 0.0 0 1 0 1 0 View Bio",1.0,4.0,4.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,40.0,0.0,10.0,10.0,0.0,0.0,,,,,,ok,ok
"Gigo, Anderson",Roosevelt,Great Lakes Intercollegiate,https://rooseveltlakers.com/sports/mens-basketball/stats,official_school_stats_page,"30 Gigo, Anderson  30 Gigo, Anderson 3 0.0 11 3.7 2 4 0.5 0 1 0.0 0 0 0.0 4 1.3 0 2 2 0.7 1 0 4 0 0 View Bio",3.0,11.1,3.7,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.3333333333333333,0.0,2.0,2.0,0.6666666666666666,1.0,0.0,4.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,14.414414414414413,7.207207207207206,0.0,0.0,0.0,14.414414414414413,,,,,,ok,ok
Austin Amponsah,Caldwell,Central Athletic,https://caldwellathletics.com/sports/mens-basketball/stats,official_school_stats_page,"34 Amponsah, Austin  34 Amponsah, Austin 11 0.0 15 1.4 0 1 0.0 0 0 0.0 0 0 0.0 0 0.0 1 1 2 0.2 1 3 0 0 0 View Bio",11.0,15.4,1.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.1818181818181818,1.0,3.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,5.194805194805196,7.792207792207792,0.0,0.0,0.0,,,,,,ok,ok
Manny Smith,Caldwell,Central Athletic,https://caldwellathletics.com/sports/mens-basketball/stats,official_school_stats_page,"11 Smith, Manny  11 Smith, Manny 3 0.0 6 2.0 0 1 0.0 0 0 0.0 0 0 0.0 0 0.0 0 0 0 0.0 2 0 0 1 0 View Bio",3.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,6.666666666666666,0.0,0.0,,,,,,ok,ok
"Travis Reed, Jr.",Chestnut Hill,Central Athletic,https://griffinathletics.com/sports/mens-basketball/stats,official_school_stats_page,"00 Reed Jr., Travis  00 Reed Jr., Travis 3 1.0 34 11.3 4 10 0.4 1 3 0.333 6 6 1.0 15 5.0 2 0 2 0.7 7 1 7 1 0 View Bio",3.0,33.900000000000006,11.3,4.0,10.0,0.4,1.0,3.0,0.333,6.0,6.0,1.0,15.0,5.0,2.0,0.0,2.0,0.6666666666666666,7.0,1.0,7.0,1.0,0.0,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.0,17.699115044247787,2.3598820058997045,1.1799410029498525,1.1799410029498525,0.0,8.259587020648969,,,,,,ok,ok
Peter Mauro,Felician College,Central Athletic,https://felicianathletics.com/sports/mens-basketball/stats,official_school_stats_page,"16 Mauro, Peter  16 Mauro, Peter 5 0.0 17 3.4 2 5 0.4 2 4 0.5 3 4 0.75 9 1.8 0 1 1 0.2 2 2 2 0 0 View Bio",5.0,17.0,3.4,2.0,5.0,0.4,2.0,4.0,0.5,3.0,4.0,0.75,9.0,1.8,0.0,1.0,1.0,0.2,2.0,2.0,2.0,0.0,0.0,0.4,0.4,0.0,0.0,21.176470588235293,2.3529411764705883,4.705882352941177,0.0,0.0,4.705882352941177,,,,,,ok,ok
Donovan Long,Felician College,Central Athletic,https://felicianathletics.com/sports/mens-basketball/stats,official_school_stats_page,"12 Long, Donovan  12 Long, Donovan 3 0.0 33 11.0 2 9 0.222 0 5 0.0 0 0 0.0 4 1.3 2 1 3 1.0 4 0 1 2 0 View Bio",3.0,33.0,11.0,2.0,9.0,0.222,0.0,5.0,0.0,0.0,0.0,0.0,4.0,1.3333333333333333,2.0,1.0,3.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,4.848484848484848,3.636363636363636,0.0,2.424242424242424,0.0,1.212121212121212,,,,,,ok,ok
Tajamir Brown,Felician College,Central Athletic,https://felicianathletics.com/sports/mens-basketball/stats,official_school_stats_page,"05 Brown, Tajamir  05 Brown, Tajamir 8 0.0 27 3.4 1 6 0.167 0 2 0.0 3 4 0.75 5 0.6 0 2 2 0.3 5 3 6 1 0 View Bio",8.0,27.2,3.4,1.0,6.0,0.167,0.0,2.0,0.0,3.0,4.0,0.75,5.0,0.625,0.0,2.0,2.0,0.25,5.0,3.0,6.0,1.0,0.0,0.375,0.75,0.125,0.0,7.352941176470589,2.9411764705882355,4.411764705882353,1.4705882352941178,0.0,8.823529411764707,,,,,,ok,ok
