target_conference,player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,big_west_porpag,barttorvik_bpm,barttorvik_obpm,barttorvik_dbpm,barttorvik_url,barttorvik_player_name,barttorvik_team,match_status,source_file
Big West,Scotty Washington,scotty-washington,Cal State Northridge,cal-state-northridge,2024-25,2.17644,-1.40107,0.176355,-1.57742,https://barttorvik.com/playerstat.php?year=2025&p=74540,Scotty Washington,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Isaac Johnson,isaac-johnson,Hawaii,hawaii,2025-26,2.74427,4.79792,2.58075,2.21717,https://barttorvik.com/playerstat.php?year=2026&p=75331,Isaac Johnson,Hawaii,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Derin Saran,derin-saran,UC Irvine,uc-irvine,2025-26,0.44096,0.311533,-1.72017,2.0317,https://barttorvik.com/playerstat.php?year=2026&p=79165,Derin Saran,UC Irvine,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Leo Beath,leo-beath,UC San Diego,uc-san-diego,2025-26,0.859151,0.0735654,-1.74956,1.82313,https://barttorvik.com/playerstat.php?year=2026&p=76538,Leo Beath,UC San Diego,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Hunter Erickson,hunter-erickson,Hawaii,hawaii,2025-26,0.356699,0.488391,-1.32271,1.8111,https://barttorvik.com/playerstat.php?year=2026&p=73285,Hunter Erickson,Hawaii,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Josiah Davis,josiah-davis,Cal State Northridge,cal-state-northridge,2025-26,1.90806,-1.77756,-1.18806,-0.589504,https://barttorvik.com/playerstat.php?year=2026&p=76069,Josiah Davis,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Gytis Nemeikša,gytis-nemeika,Hawaii,hawaii,2024-25,2.75213,2.86143,2.64946,0.211969,https://barttorvik.com/playerstat.php?year=2025&p=79138,Gytis Nemeiksa,Hawaii,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Kenny Pohto,kenny-pohto,UC Santa Barbara,uc-santa-barbara,2024-25,2.58405,0.376963,0.67636,-0.299397,https://barttorvik.com/playerstat.php?year=2025&p=74671,Kenny Pohto,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Tanner Christensen,tanner-christensen,Hawaii,hawaii,2024-25,2.52487,2.39709,1.34955,1.04754,https://barttorvik.com/playerstat.php?year=2025&p=73090,Tanner Christensen,Hawaii,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Jefferson De La Cruz Monegro,jefferson-monegro,Cal State Fullerton,cal-state-fullerton,2025-26,1.98132,0.226925,0.568118,-0.341193,https://barttorvik.com/playerstat.php?year=2026&p=76180,Jefferson De La Cruz Monegro,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,T.J. Wainwright,tj-wainwright,Long Beach State,long-beach-state,2024-25,2.66137,-1.42586,1.86322,-3.28908,https://barttorvik.com/playerstat.php?year=2025&p=76409,TJ Wainwright,Long Beach St.,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Marcus Wilson,marcus-wilson,UC Davis,uc-davis,2025-26,1.76428,-0.393061,0.0241102,-0.417171,https://barttorvik.com/playerstat.php?year=2026&p=126910,Marcus Wilson,UC Davis,matched_player_and_team,Bart data/trank_data_2026.csv
